,Phase,Formula,SG,Entry,Property,Units,Value
61821,131469,Na0.9Fe0.957Rh0.043As,129,P20118629-6,energy gap,eV,3.5
61822,131470,Cs2TiGa2[MoO4]6,148,P20118631-6,energy gap,eV,4.8
61823,131471,Cs2TiFe2[MoO4]6,148,P20118632-6,energy gap,eV,4.8
61824,131472,CaHfF6,225,P20118635-6,energy gap,eV,6.1
61825,131475,Ba0.3Ca0.1La0.6CoO3,221,P20118640-6,energy gap,eV,3.9
61826,131476,Cs2TiAl2[MoO4]6,148,P20118630-6,energy gap,eV,4.5
61827,131477,Cs2Sc2Ti[MoO4]6,148,P20118633-6,energy gap,eV,5.0
61828,131478,Cs2TiIn2[MoO4]6,148,P20118634-6,energy gap,eV,5.0
61829,131483,GdFeNi3Si,191,P20118649-6,energy gap,eV,3.4
61830,131484,TbMnNi3Si,191,P20118652-6,energy gap,eV,3.6
61831,131485,TbCoNi3Si,191,P20118654-6,energy gap,eV,3.0
61832,131486,Tb3Co3.5Ni8.5Si4,194,P20118656-6,energy gap,eV,3.2
61833,131488,Tb2Pd2Sn,127,P20118658-6,energy gap,eV,3.3
61834,131494,Ca2Ru0.66Ir0.34O4,61,P20118646-6,energy gap,eV,4.5
61835,131495,GdMnNi3Si,191,P20118647-6,energy gap,eV,3.5
61836,131497,GdCoNi3Si,191,P20118650-6,energy gap,eV,3.3
61837,131498,CuGdNi3Si,191,P20118651-5,energy gap,eV,3.5
61838,131499,TbFeNi3Si,191,P20118653-6,energy gap,eV,3.5
61839,131500,CuTbNi3Si,191,P20118655-6,energy gap,eV,3.0
61840,131512,MgTm2S4,63,P20118672-6,energy gap,eV,4.2
61841,131516,Ni3.04Al0.96H,221,P20118679-6,energy gap,eV,3.1
61842,131517,Ba0.25Sr0.25Pr0.5Fe0.5Co0.5O2.98,140,P20118680-6,energy gap,eV,3.9
61843,131518,Ba0.5Sr0.5YFeCoO5.55,47,P20118682-6,energy gap,eV,4.0
61844,131522,Tm0.08Bi1.92O3,114,P20118688-6,energy gap,eV,5.2
61845,131523,La0.1Ce0.9Os2Al10,63,P20118691-6,energy gap,eV,3.7
61846,131524,AuUBi2,129,P20118692-6,energy gap,eV,4.1
61847,131526,Ba0.95La0.05Ce0.05Ti0.9Mn0.05O3,221,P20118694-6,energy gap,eV,3.8
61848,131528,CeNi,62,P20118668-6,energy gap,eV,4.1
61849,131531,Li6.46La3Zr2Fe0.18O12,220,P20118673-6,energy gap,eV,4.5
61850,131533,Mg2Ge0.2Bi0.023Si0.777,225,P20118677-6,energy gap,eV,4.7
61851,131537,Ce0.882Gd0.098Nb0.02O1.961,225,P20118684-6,energy gap,eV,4.5
61852,131538,Tm0.14Bi0.86O1.5,225,P20118689-6,energy gap,eV,4.9
61853,131539,La0.1Ce0.9Ru2Al10,63,P20118690-6,energy gap,eV,3.1
61854,131541,Na0.005Ag0.5Sb0.495Se,225,P20118696-6,energy gap,eV,4.9
61855,131548,HfPd2Sn,225,P20118706-6,energy gap,eV,2.6
61856,131560,La0.6Sm0.067MnPb0.333O3,62,P20118716-6,energy gap,eV,3.2
61857,131562,Nd0.375Eu0.125Zr0.5O1.75,225,P20118718-6,energy gap,eV,2.9
61858,131566,U2Ir0.5Pt0.5C2,139,P20118730-6,energy gap,eV,3.1
61859,131568,Ca0.1La0.7MnPb0.2O3,14,P20118734-6,energy gap,eV,3.5
61860,131571,Ni0.94Pd12.06Sn9,152,P20118741-6,energy gap,eV,3.2
61861,131572,Ni2.19Pd0.81Sn4,12,P20118744-6,energy gap,eV,3.1
61862,131576,EuTi0.96Cr0.04O3,221,P20118715-6,energy gap,eV,4.0
61863,131577,Nd1.5Eu0.5Zr2O7,227,P20118719-6,energy gap,eV,5.1
61864,131579,Mg2Ge0.99Sb0.01,225,P20118721-5,energy gap,eV,4.5
61865,131582,Cr0.25Fe0.05Co0.45Al0.25,229,P20118725-6,energy gap,eV,2.9
61866,131584,CeTi0.5Cr0.5Ge3,194,P20118729-6,energy gap,eV,3.1
61867,131585,La0.8Eu0.06Cr0.14FeO3,62,P20118732-6,energy gap,eV,3.8
61868,131597,Ga0.79In0.21N,216,P20118758-6,energy gap,eV,4.1
61869,131598,Ba2EuFeO5,14,P20118761-6,energy gap,eV,4.5
61870,131599,Ba2GdFeO5,14,P20118762-6,energy gap,eV,4.8
61871,131600,Ba2ErFeO5,14,P20118766-6,energy gap,eV,4.8
61872,131601,Ba2YbFeO5,14,P20118767-6,energy gap,eV,4.5
61873,131603,CrFeCoGe,216,P20118770-6,energy gap,eV,3.2
61874,131609,Ba0.97La0.03Dy0.03Ti0.97O3,99,P20118784-6,energy gap,eV,4.1
61875,131615,CeRh0.9Pd0.1In5,123,P20118759-6,energy gap,eV,3.9
61876,131616,Ba2SmFeO5,14,P20118760-5,energy gap,eV,4.9
61877,131617,Ba2DyFeO5,14,P20118763-6,energy gap,eV,4.8
61878,131618,Ba2HoFeO5,14,P20118764-6,energy gap,eV,4.7
61879,131619,Ba2YFeO5,14,P20118765-6,energy gap,eV,4.7
61880,131622,K0.03Ba0.97Ti0.97Nb0.03O3,99,P20118772-6,energy gap,eV,4.5
61881,131624,Li0.30Cr0.02Ni0.68O,225,P20118777-6,energy gap,eV,3.0
61882,131627,Ba0.975Zn0.0167Ti0.975Nb0.0083Bi0.025O3,99,P20118781-6,energy gap,eV,4.1
61883,131629,Ba0.9La0.1Dy0.1Ti0.9O3,221,P20118785-6,energy gap,eV,4.4
61884,131630,Ba0.05Nb0.05Fe0.95Bi0.95O3,161,P20118786-6,energy gap,eV,4.9
61885,131631,Ba0.94Mg0.04Ti0.94Ta0.02Bi0.06O3,221,P20118788-6,energy gap,eV,4.1
61886,131632,Na0.48Zn0.02Zr0.02Ti0.96Bi0.52O3,221,P20118790-6,energy gap,eV,3.5
61887,131634,Cu2ZnSn0.5Ge0.5S4,82,P20118793-6,energy gap,eV,4.2
61888,131639,Na0.49Zn0.01Zr0.01Ti0.98Bi0.51O3,161,P20118789-6,energy gap,eV,3.6
61889,131641,K0.5Na0.5[BH4],225,P20118794-6,energy gap,eV,4.2
61890,131642,Al[PO4],193,P20118796-6,energy gap,eV,5.1
61891,131644,Ag0.143Sn0.714Bi0.143Te,225,P20118797-6,energy gap,eV,5.2
61892,131645,Tm5Rh6Sn18,142,P20118799-4,energy gap,eV,3.8
61893,131646,Li0.67Fe0.317Sb0.349O2,164,P20118801-6,energy gap,eV,3.7
61894,131647,Li0.27Fe0.317Sb0.349O1.76,166,P20118803-6,energy gap,eV,3.5
61895,131650,Ba0.275Ti0.275Fe0.6815Al0.0435Bi0.725O3,38,P20118806-6,energy gap,eV,3.6
61896,131652,Gd0.5Tb0.2Dy0.3Co2,227,P20118808-6,energy gap,eV,4.1
61897,131655,Zr0.97Ta0.03B1.952C0.048,191,P20118812-6,energy gap,eV,3.0
61898,131656,Zr0.966V0.034B1.955C0.045,191,P20118815-6,energy gap,eV,3.1
61899,131657,Zr0.97Re0.03B1.955C0.045,191,P20118814-6,energy gap,eV,3.0
61900,131658,Zr0.97Cr0.03B1.958C0.042,191,P20118816-6,energy gap,eV,3.0
61901,131660,Zr0.97Mo0.03B1.955C0.045,191,P20118813-6,energy gap,eV,3.0
61902,131662,La0.5Sm0.5Fe3[BO3]4,155,P20118818-6,energy gap,eV,4.5
61903,131663,Ti4.3Nb0.4W0.3Bi7O21,46,P20118820-5,energy gap,eV,5.2
61904,131666,Cu0.2Cr2Co0.8O4,227,P20118822-6,energy gap,eV,4.2
61905,131669,TlGa0.5In0.5TeSe,140,P20118826-6,energy gap,eV,4.7
61906,131671,Cu0.12Y0.08Ce0.8O1.84,225,P20118829-6,energy gap,eV,3.0
61907,131672,Ba2W0.2In1.8O5.3,108,P20118828-6,energy gap,eV,4.0
61908,131673,Li0.92Ag0.08Cu2O2,62,P20118830-6,energy gap,eV,3.2
61909,131677,Ho0.09Mn0.09Fe0.91Bi0.91O3,161,P20118834-6,energy gap,eV,3.5
61910,131686,Na0.65Ti0.7Nb0.3Bi0.35O3,100,P20118841-6,energy gap,eV,4.8
61911,131696,CsHo9Mn4Se18,148,P20118852-6,energy gap,eV,4.7
61912,131697,CsTm9Mn4Se18,148,P20118854-6,energy gap,eV,4.3
61913,131701,Na2Sn[IO3]6,173,P20118862-6,energy gap,eV,5.5
61914,131704,[C2N5H8]2[C6N8O11],60,P20118869-6,energy gap,eV,5.2
61915,131705,Ca2[NO3]2Cl2[CON3H5]4[H2O]2,14,P20118870-6,energy gap,eV,4.4
61916,131707,Na3B4ClO7,178,P20118875-6,energy gap,eV,5.4
61917,131709,LaMn0.2Ga0.8Ge2O7,14,P20118880-6,energy gap,eV,5.2
61918,131712,K0.13Na3.87Mg[MoO4]3,15,P20118886-6,energy gap,eV,4.7
61919,131713,Sr0.195La0.805Fe2Ge2,139,P20118889-6,energy gap,eV,3.5
61920,131715,Sm5Ga1.85Sn1.15,130,P20118891-6,energy gap,eV,4.5
61921,131716,SmGa0.94Sn0.06,63,P20118892-6,energy gap,eV,4.8
61922,131717,BiB2O4[OH],144,P20118897-6,energy gap,eV,5.0
61923,131719,Cu2La0.5Ce0.5In,225,P20118900-6,energy gap,eV,3.0
61924,131726,Mg0.05Ce0.9Zr0.05O1.95,225,P20118909-6,energy gap,eV,3.7
61925,131727,Rb8Mg8Ga4[PO4]12,230,P20118910-6,energy gap,eV,3.6
61926,131728,Rb8Co8Ga4[PO4]12,230,P20118911-6,energy gap,eV,4.0
61927,131731,Na0.2Sr0.8Bi3,221,P20118918-6,energy gap,eV,4.5
61928,131732,Y0.071Ce0.889Co0.04O1.924,225,P20118919-6,energy gap,eV,3.9
61929,131733,BaCu0.25Zn1.5Mn0.25As2,139,P20118920-6,energy gap,eV,3.8
61930,131738,NpB2C,166,P20118930-6,energy gap,eV,2.9
61931,131740,Na6Th[CO3]5[H2O]12,2,P20119428-6,energy gap,eV,5.7
61932,131741,[CN3H6]6Th[CO3]5[H2O]4,9,P20119437-6,energy gap,eV,4.6
61933,131765,Mn3Co2O8,31,P20119435-6,energy gap,eV,3.9
61934,131773,As2[SO4]2O,7,P20119818-6,energy gap,eV,5.2
61935,131774,As2[SO4]3,14,P20119804-6,energy gap,eV,5.3
61936,131777,Li2Te2O5,14,P20119850-6,energy gap,eV,5.8
61937,131793,Li2HgP4O12,14,P20119683-6,energy gap,eV,5.1
61938,131794,H5Tl[PO4]2,15,P20119755-6,energy gap,eV,4.1
61939,131813,LuB12,139,P20118936-6,energy gap,eV,2.9
61940,131814,Gd0.95Fe3Bi0.05[BO3]4,155,P20118937-6,energy gap,eV,4.3
61941,131817,H12Cs6[PO4]4[SO4]3,220,P20118940-6,energy gap,eV,5.9
61942,131818,Na3Tb3Si6O18[H2O],2,P20118941-6,energy gap,eV,4.0
61943,131819,TlGa0.1In0.9Se1.8S0.2,140,P20118942-6,energy gap,eV,4.7
61944,131820,Li0.25La0.25NbO3,47,P20118851-6,energy gap,eV,3.7
61945,131821,CsEr9Mn4Se18,148,P20118853-6,energy gap,eV,4.5
61946,131822,CsYb9Mn4Se18,148,P20118855-6,energy gap,eV,4.2
61947,131823,H4K12Mo12Co[PO4]8O24[OH]6[H2O]12,166,P20118858-6,energy gap,eV,4.4
61948,131825,Li2Sn[IO3]6,173,P20118861-6,energy gap,eV,6.0
61949,131827,Sn2[IO3]6,148,P20118866-6,energy gap,eV,5.5
61950,131829,Na3EuSi6O15[H2O]1.47,35,P20118872-6,energy gap,eV,4.1
61951,131834,Cs0.96MgEu0.04[PO4],62,P20118881-6,energy gap,eV,4.2
61952,131844,Cu0.3LaMn0.3Co0.6Ni3.8,191,P20118905-6,energy gap,eV,3.6
61953,131845,Rb8Ni8Ga4[PO4]12,230,P20118912-6,energy gap,eV,4.0
61954,131846,Rb8Zn8Ga4[PO4]12,230,P20118913-6,energy gap,eV,4.1
61955,131850,Ba2Mg0.95Yb0.067W0.983O6,225,P20118924-6,energy gap,eV,4.0
61956,131851,Ba2Mg0.95Dy0.067W0.983O6,225,P20118925-6,energy gap,eV,4.0
61957,131852,Ba2Mg0.95Sm0.067W0.983O6,225,P20118926-6,energy gap,eV,4.0
61958,131853,La4Ni3O10,14,P20118927-6,energy gap,eV,3.9
61959,131854,La4Co2.4Ni0.6O10,14,P20118928-5,energy gap,eV,4.5
61960,131855,PuB2C,166,P20118931-6,energy gap,eV,3.0
61961,131868,Fe2[CrO4]3[H2O]3,14,P20119531-6,energy gap,eV,4.7
61962,131876,[NH4]2Mg[MoO4]2[H2O]2,14,P20119998-6,energy gap,eV,5.3
61963,131900,Ce10S15,142,P20122924-5,energy gap,eV,4.2
61964,131925,[UO2][C2O4][CON2H4]3,14,P20118950-6,energy gap,eV,4.4
61965,131953,CsAl2BP6O20,61,P20118944-6,energy gap,eV,5.0
61966,131954,Rb2Mn3[P2O7]2[H2O]2,14,P20118945-6,energy gap,eV,4.5
61967,131956,Mg0.20Mn0.43Fe0.37SiO3,2,P20118947-6,energy gap,eV,4.1
61968,131977,Zr0.265Ti0.235Nb0.25Fe0.25PbO3,99,P20119127-6,energy gap,eV,4.8
61969,131980,Ir2Pb2O7,227,P20118953-5,energy gap,eV,5.0
61970,132000,[NH4]Sn2F5,12,P20118956-6,energy gap,eV,6.4
61971,132005,[NH4]CrF3,140,P20118958-6,energy gap,eV,6.3
61972,132007,NaTl2CrF6,225,P20118959-6,energy gap,eV,5.6
61973,132010,K2[TeO4],62,P20118960-6,energy gap,eV,4.8
61974,132011,Rb2[TeO4],62,P20118962-6,energy gap,eV,5.0
61975,132013,Mg0.125Fe0.25Co1.75Ge0.875O4,227,P20118965-6,energy gap,eV,3.5
61976,132017,KVF3,99,P20118963-6,energy gap,eV,5.6
61977,132018,BaMg0.8Co1.2[VO4]2,142,P20118966-6,energy gap,eV,5.1
61978,132019,Sr0.4Pb0.6Se,225,P20118967-6,energy gap,eV,3.9
61979,132021,BaMn0.25Fe6Co0.75O11,166,P20118970-6,energy gap,eV,4.8
61980,132029,Y0.9Er0.1[VO4]0.5[PO4]0.5,141,P20118983-6,energy gap,eV,4.7
61981,132030,LiLa0.5Pr0.5P4O12,15,P20118980-6,energy gap,eV,4.7
61982,132031,LiPrP4O12,15,P20118981-6,energy gap,eV,5.0
61983,132034,Sr0.3Ca0.1Pr0.56Er0.04MnO3,62,P20118985-6,energy gap,eV,3.9
61984,132035,BaY0.1Ce0.4Zr0.3In0.2O2.85,221,P20118987-6,energy gap,eV,3.7
61985,132036,BaCe0.4Zr0.3In0.3O2.85,221,P20118986-6,energy gap,eV,3.8
61986,132038,Sr0.2Ta0.1Fe0.9Bi0.8O3,161,P20118989-6,energy gap,eV,3.6
61987,132039,Sc0.05Dy0.45Zr0.5O1.75,225,P20118993-6,energy gap,eV,2.8
61988,132042,La1.8Sc0.2Zr2O7,227,P20118991-6,energy gap,eV,4.9
61989,132044,Ba0.984Zr0.886Nb0.098O3,221,P20118996-6,energy gap,eV,3.9
61990,132045,Ba0.984Zr0.886Ta0.098O3,221,P20118997-6,energy gap,eV,3.6
61991,132050,Zn0.944Co0.056S,186,P20119002-6,energy gap,eV,4.1
61992,132051,K2Cu[C2O4]2[H2O]4,14,P20119003-6,energy gap,eV,3.7
61993,132052,K2Cu[C2O4]2,14,P20119004-6,energy gap,eV,4.2
61994,132053,LiSmTiO4,57,P20119005-6,energy gap,eV,3.6
61995,132056,Y0.49Eu0.01Hf0.5O1.75,225,P20119009-6,energy gap,eV,3.5
61996,132058,H4Na3Gd3W22O74[H2O]50,2,P20119013-6,energy gap,eV,4.4
61997,132060,Eu0.005Lu0.495Hf0.5O1.75,225,P20119011-6,energy gap,eV,2.8
61998,132062,H4Na3Er3W22O74[H2O]50,2,P20119015-6,energy gap,eV,4.7
61999,132063,H4Na3Tm3W22O74[H2O]50,2,P20119016-6,energy gap,eV,4.2
62000,132065,Li1.2Mn0.51Co0.08Ni0.16Al0.05O2,12,P20119019-6,energy gap,eV,4.3
62001,132066,H4Na3Lu3W22O74[H2O]50,2,P20119018-6,energy gap,eV,4.6
62002,132067,K2[C4N6O10],14,P20119020-6,energy gap,eV,4.5
62003,132070,CsSc0.95Er0.05F4,59,P20119025-6,energy gap,eV,6.3
62004,132071,Na4Ca3.72Eu0.28Si6O18,166,P20119023-6,energy gap,eV,4.7
62005,132072,K0.6Ga0.6Si0.4Se2,140,P20119028-6,energy gap,eV,4.2
62006,132073,K0.6Ga0.6Si0.4S2,140,P20119026-6,energy gap,eV,4.5
62007,132074,K0.6Ga0.6Ge0.4Se2,140,P20119029-6,energy gap,eV,4.3
62008,132075,K0.6Ga0.6Ge0.4S2,140,P20119027-6,energy gap,eV,4.5
62009,132077,Ag3Ti3[SeO3]4O3F,173,P20119030-6,energy gap,eV,4.6
62010,132078,AgTa[SeO3]2O,63,P20119033-6,energy gap,eV,4.5
62011,132079,AgNb[SeO3]2O,63,P20119032-6,energy gap,eV,4.0
62012,132080,K0.3Dy0.7MnO3,62,P20119035-6,energy gap,eV,3.9
62013,132082,K3B6Br0.79Cl0.21O10,160,P20119037-6,energy gap,eV,5.1
62014,132083,K3B6ClO10,160,P20119036-6,energy gap,eV,4.9
62015,132085,NaLi3Ge2,62,P20119039-6,energy gap,eV,3.8
62016,132090,LaNiO3,14,P20119043-6,energy gap,eV,4.3
62017,132091,Li3.2PS4,137,P20119042-6,energy gap,eV,3.5
62018,132092,ZnBr[NH2][NH3]2,14,P20119047-6,energy gap,eV,4.8
62019,132093,Zn2[NH2]3Cl[NH3]2,18,P20119046-6,energy gap,eV,4.0
62020,132096,K19W36In10[SiO4]4O116[OH]17[H2O]43,14,P20119045-6,energy gap,eV,5.1
62021,132097,Ca2ScLuZrAl2GeO12,230,P20119051-6,energy gap,eV,5.1
62022,132098,Na0.6Ti0.1Mn0.5Co0.2Ni0.2O2,194,P20119050-6,energy gap,eV,3.3
62023,132099,Li[CN6H9][C2N8O2][H2O],15,P20119053-6,energy gap,eV,4.7
62024,132100,Rb3.75Tl0.25Ge23,223,P20119054-6,energy gap,eV,4.4
62025,132101,LiMg0.02Ti0.02Mn0.3Co0.18Ni0.48O2,166,P20119056-6,energy gap,eV,4.1
62026,132102,La2.36Y0.5Ce0.14Si6N11,100,P20119057-6,energy gap,eV,4.2
62027,132105,C14S4F8,14,P20119059-6,energy gap,eV,5.5
62028,132108,Y2CrAlO6,14,P20119060-6,energy gap,eV,3.9
62029,132110,CaZnLa2O5,140,P20119066-6,energy gap,eV,5.6
62030,132114,H2Na2[NH3OH]2[C3N8NO]2[H2O]5,7,P20119068-6,energy gap,eV,4.7
62031,132117,BaZnYCo3O7,159,P20119072-6,energy gap,eV,4.1
62032,132118,BaZn0.6Y0.9Fe0.4Co3In0.1O7,159,P20119073-6,energy gap,eV,3.7
62033,132120,C6N10O10F2,14,P20119076-6,energy gap,eV,5.1
62034,132122,CsTaWO6,62,P20119078-6,energy gap,eV,4.8
62035,132124,CsTaWO6,14,P20119079-6,energy gap,eV,4.6
62036,132125,Na4.5Ge2Sb0.5S6,12,P20119080-6,energy gap,eV,4.0
62037,132126,Na4.5Ge2Sb0.5Se6,15,P20119081-6,energy gap,eV,4.4
62038,132128,Na12.67Ti6.33O19,148,P20119084-6,energy gap,eV,4.3
62039,132136,Ca0.2Gd1.8Ti1.9Mo0.1O6.87,227,P20119093-6,energy gap,eV,4.7
62040,132138,Li2.97Mg0.03[VO4],31,P20119095-6,energy gap,eV,4.2
62041,132139,ErCr[SCN]6[H2O]13,2,P20119096-6,energy gap,eV,4.5
62042,132140,LuCr[SCN]6[H2O]13,2,P20119097-6,energy gap,eV,4.9
62043,132142,Cu[C6O4Cl2][H2O]2,14,P20119099-6,energy gap,eV,4.8
62044,132147,La0.7Fe0.4Co0.3Ni0.6O3,62,P20119104-6,energy gap,eV,3.6
62045,132148,Sr0.6La1.4MnCoO6,14,P20119106-6,energy gap,eV,3.7
62046,132152,Sr0.4La4.6Sc0.6Ti4.4O17,58,P20119111-6,energy gap,eV,4.8
62047,132153,Mg2.8Ta2Co1.2O9,165,P20119108-6,energy gap,eV,4.6
62048,132154,Zn0.96Mn0.02Sn0.02O,186,P20119109-6,energy gap,eV,4.9
62049,132156,Ba0.8Sr0.2Zn0.05Ti0.85Nb0.1O3,221,P20119112-6,energy gap,eV,4.0
62050,132160,Ca0.97Eu0.02[CO3],167,P20119117-6,energy gap,eV,3.9
62051,132161,La0.4Mn0.95Ga0.05Bi0.6O3,62,P20119118-6,energy gap,eV,3.7
62052,132162,La0.99Eu0.01ClO,129,P20119120-6,energy gap,eV,4.8
62053,132170,Ba0.75Sr1.5La0.25Nb5O15,100,P20119129-6,energy gap,eV,3.4
62054,132172,BaSmCo1.7Ni0.3O5,47,P20119131-6,energy gap,eV,4.5
62055,132175,Sr0.2La0.8V0.04Co0.96O3,167,P20119135-6,energy gap,eV,4.5
62056,132178,Mg0.1Cu0.95Mn0.95O2,12,P20119136-6,energy gap,eV,3.6
62057,132185,La0.1Gd0.1FeBi0.8O3,161,P20119144-6,energy gap,eV,4.5
62058,132189,Li0.35Sr0.475Zr0.3Ta0.7O3,221,P20119148-6,energy gap,eV,4.1
62059,132193,Ca0.67La0.33Ti0.67Al0.264Ga0.066O3,62,P20119151-6,energy gap,eV,3.0
62060,132195,NaH0.5F0.5,225,P20119155-6,energy gap,eV,4.6
62061,132202,[CN6H5]2[SO4],14,P20119160-6,energy gap,eV,4.6
62062,132204,La0.1Fe1.8NiAl0.1O4,227,P20119159-6,energy gap,eV,3.1
62063,132205,K2BaB8O10[OH]8[H2O]10,33,P20119161-6,energy gap,eV,4.1
62064,132207,Zn4Pb[PO4]3[OH],176,P20119163-6,energy gap,eV,5.1
62065,132208,Rb1.28K0.72Cu3[P2O7]2,19,P20119164-6,energy gap,eV,4.5
62066,132211,Ba0.5Sr0.5Bi2B2O7,173,P20119167-6,energy gap,eV,4.6
62067,132216,LiAl0.5Ga0.5[GeO4],148,P20119173-6,energy gap,eV,4.5
62068,132219,NaCr0.6Fe0.4[P2O7],14,P20119175-6,energy gap,eV,5.6
62069,132220,Li5.5La3Gd0.25Nb1.75O12,230,P20119177-6,energy gap,eV,4.1
62070,132221,In1.500Sn0.375O3,167,P20119179-6,energy gap,eV,4.9
62071,132223,MnSe,62,P20119181-6,energy gap,eV,3.1
62072,132227,K0.475Mg0.025Ti0.975Bi0.525O3,99,P20119187-6,energy gap,eV,3.7
62073,132230,Y0.7Eu0.3TiNbO6,62,P20119188-6,energy gap,eV,4.1
62074,132231,Tl0.07La0.13Ce0.8O1.9,225,P20119190-6,energy gap,eV,3.4
62075,132232,Na0.02FeBi0.98O2.98,161,P20119191-6,energy gap,eV,4.5
62076,132234,Na0.02Fe0.99Ru0.01Bi0.98O2.985,161,P20119192-6,energy gap,eV,4.1
62077,132239,Y0.18Ce0.8Fe0.02O1.9,225,P20119196-6,energy gap,eV,3.5
62078,132241,LaNi4.8Al0.1Sn0.1,191,P20119197-6,energy gap,eV,3.5
62079,132242,LaFe0.2Ni4.6Sn0.2,191,P20119198-6,energy gap,eV,3.4
62080,132243,BaZn0.05Y0.1Ce0.7Zr0.15O2.9,221,P20119201-6,energy gap,eV,4.4
62081,132244,BaZn0.05Y0.2Ce0.7Zr0.05O2.85,62,P20119202-6,energy gap,eV,4.2
62082,132247,BaZn0.05Y0.25Ce0.7O2.825,62,P20119203-6,energy gap,eV,3.4
62083,132250,Na0.4Ba0.2ZrBi0.4O3,221,P20119205-6,energy gap,eV,4.2
62084,132252,Al0.8Ga1.2O3,12,P20119209-6,energy gap,eV,4.3
62085,132253,La0.02Zr0.66Ti0.11Pb0.97Sn0.23O3,99,P20119208-6,energy gap,eV,4.7
62086,132254,Na0.4Ba0.2Zr0.1Ti0.9Bi0.4O3,221,P20119206-6,energy gap,eV,4.2
62087,132257,Ba0.5Sr0.5Y0.1Ce0.6Gd0.1Zr0.2O2.9,221,P20119212-6,energy gap,eV,4.2
62088,132258,Ba0.5Sr0.5Y0.1Ce0.8Gd0.1O2.9,62,P20119211-6,energy gap,eV,4.0
62089,132259,Ba0.5Sr0.5Y0.2Ce0.7Zr0.1O2.9,62,P20119213-6,energy gap,eV,4.0
62090,132262,Na0.06Ba0.94Zn2Sb2,62,P20119216-6,energy gap,eV,3.9
62091,132263,Na0.06Ba0.88Sr0.06Zn2Sb2,62,P20119217-6,energy gap,eV,3.5
62092,132264,Ba0.25Sr1.75MoNiO6,87,P20119219-6,energy gap,eV,4.1
62093,132265,Sr2Zn0.75MoNi0.25O6,87,P20119220-6,energy gap,eV,4.7
62094,132270,Pr0.5Fe1.2Bi1.3SbO7,227,P20119225-6,energy gap,eV,4.5
62095,132271,La0.2Fe1.2Bi1.6SbO7,227,P20119226-6,energy gap,eV,4.6
62096,132274,CeRhAl4Si2,123,P20119228-6,energy gap,eV,3.0
62097,132275,CeIrAl4Si2,123,P20119229-6,energy gap,eV,3.1
62098,132276,Cu0.99La1.8Eu0.2Ni0.01O4,139,P20119230-6,energy gap,eV,3.9
62099,132277,Cu0.99Zn0.01La1.8Eu0.2O4,139,P20119231-6,energy gap,eV,3.8
62100,132279,Y0.95Ce0.05CoO3,62,P20119234-6,energy gap,eV,5.0
62101,132280,EuIrRhSi2,139,P20119235-6,energy gap,eV,3.3
62102,132281,Sr0.14Ca0.06Ti0.2Fe0.8Bi0.8O3,161,P20119236-6,energy gap,eV,4.7
62103,132283,Pb0.2Bi1.8SiO4.9,63,P20119238-6,energy gap,eV,5.6
62104,132286,La2.85Eu0.15TaO7,63,P20119240-6,energy gap,eV,5.0
62105,132294,Pr6UO12,148,P20119249-6,energy gap,eV,3.8
62106,132295,UNd6O12,148,P20119250-6,energy gap,eV,3.9
62107,132297,CsSnBrCl2,14,P20119254-6,energy gap,eV,5.1
62108,132298,Sr1.7Ca0.3PdO3,71,P20119255-6,energy gap,eV,4.7
62109,132299,Sr1.7Mg0.3PdO3,71,P20119256-6,energy gap,eV,4.2
62110,132300,Zn0.60Sm0.04Gd0.04Mn0.40Fe1.92O4,227,P20119258-6,energy gap,eV,4.4
62111,132301,Pr0.33Pb0.5[WO4]0.5[MoO4]0.5,88,P20119257-6,energy gap,eV,4.9
62112,132307,LiMn1.67B0.33O4,227,P20119264-6,energy gap,eV,3.3
62113,132310,Li0.33Mg0.50Zr0.17O,225,P20129363-6,energy gap,eV,5.4
62114,132328,Cu0.90Cd0.10BiSeO,129,P20128528-6,energy gap,eV,4.4
62115,132353,FeTe,129,P20129839-4,energy gap,eV,4.9
62116,132356,BaFe0.95In0.05O2.5,160,P20129272-6,energy gap,eV,3.8
62117,132365,Na0.05Sr0.4Pr0.55MnO3,62,P20127527-6,energy gap,eV,4.0
62118,132386,CsYb3F10,7,P20080877-6,energy gap,eV,5.2
62119,132399,Sr0.5La0.5Ti0.985Ni0.015O3,221,P20125385-6,energy gap,eV,4.1
62120,132417,Na3Ni2SbO6,12,P20128867-6,energy gap,eV,4.4
62121,132438,SrFe6CoO11,166,P20129337-6,energy gap,eV,4.7
62122,132505,KCaPb3[PO4]3,176,P20129429-6,energy gap,eV,4.8
62123,132573,Sr2Ag2CoSe2O2,139,P20126410-6,energy gap,eV,3.5
62124,132574,Li0.01Ba0.98TiBi0.01O3,99,P20129146-6,energy gap,eV,3.2
62125,132582,Ba3[BO3]As,194,P20119267-6,energy gap,eV,4.5
62126,132585,ScFe[Si2O7],12,P20119272-6,energy gap,eV,4.8
62127,132586,LuIn[Ge2O7],12,P20119270-6,energy gap,eV,4.6
62128,132587,ScIn[Si2O7],12,P20119273-6,energy gap,eV,4.9
62129,132589,Ba0.5Eu0.5Cl2,225,P20119276-6,energy gap,eV,6.3
62130,132591,Ba0.7Eu0.3Cl2,62,P20119275-6,energy gap,eV,6.1
